institute_▲▼,opening_rank_▲▼,closing_rank_▲▼,category_▲▼,round_▲▼,program_▲▼,stream_▲▼,seat_type_▲▼,quota_▲▼
ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,11973,16196,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",1610,6110,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
University Of Calcutta,870,1337,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,8972,8972,Open (PwD),Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY OF KALYANI, KALYANI",36295,42702,ST,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Adamas University, Barasat",10679,111134,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Techno India University, Salt Lake",25634,70894,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
Jadavpur University,2,19,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",392027,1262924,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Swami Vivekananda Institute of Science & Technology, Sonarpur",103698,103698,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Murshidabad College of Engineering & Technology, Murshidabad",57482,85860,OBC - B,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Narula Institute of Technology, Agarpara, Kolkata",916,149720,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
Techno International Batanagar,114508,512209,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Haldia Institute of Technology, Haldia, Purba Medinipur",6668,13211,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Heritage Institute of Technology, Kolkata",3606,8272,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jis University, Agarpara",12481,110100,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Seacom Skills University, Bolpur",39050,78485,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Netaji Subhas Engineering College, Garia, Kolkata",18673,84670,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Rcc Institute of Information Technology, Kolkata",4867,22495,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Maulana Abul Kalam Azad University of Technology, West Bengal",2972,4573,OBC - B,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Maulana Abul Kalam Azad University of Technology, West Bengal",110068,110068,SC (PwD),Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",7559,8500,OBC - B,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY OF KALYANI, KALYANI",5749,6612,OBC - A,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Maulana Abul Kalam Azad University of Technology, West Bengal",38563,39724,Open (PwD),Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",6135,14728,OBC - A,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Aliah University, New Town",2365,5153,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Swami Vivekananda University,125454,283537,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Jld Engineering and Management College, Baruipur",905039,905039,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Mckv Institute of Engineering, Liluah, Howrah",39765,58640,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Meghnad Saha Institute of Technology, Kolkata",57297,210524,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Murshidabad College of Engineering & Technology, Murshidabad",234938,445794,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Techno International New Town, Rajarhat, New Town",43964,99911,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Future Institute of Engineering & Management, Sonarpur",68294,75557,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Gargi Memorial Institute of Technology, Baruipur, Kolkata",309593,1285644,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Govt. College of Engineering & Textile Technology, Serampore",2211,5165,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Camellia Institute of Technology & Management, Bainchi, Hooghly",48177,48177,OBC - B,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bengal College of Engineering & Technology, Durgapur",8540,91633,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Academy of Technology, Adisaptagram, Hooghly",25847,45106,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Bengal College of Engineering & Technology, Durgapur",92238,92238,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Calcutta Institute of Technology, Uluberia, Howrah",5219,58715,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr. B. C. Roy Engineering College, Durgapur",104881,199997,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Future Institute of Technology, Boral, Garia",34493,76591,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Techno India University, Salt Lake",3756,18777,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,4584,7505,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Goverment College of Engineering and Leather Technology, Kolkata",7373,9462,OBC - A,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",6673,7021,OBC - B,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Ceramic Technology, Kolkata",3538,4368,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Ceramic Technology, Kolkata",29107,31375,ST,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,4612,9548,ST,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Maulana Abul Kalam Azad University of Technology, West Bengal",2872,5954,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Netaji Subhas Engineering College, Garia, Kolkata",2172,14339,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Heritage Institute of Technology, Kolkata",3841,4152,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Seacom Engineering College, Sankrail, Howrah",35799,35799,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sister Nivedita University, New Town",15385,25338,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",6259,9777,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bengal College of Engineering & Technology, Durgapur",31532,31733,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kaji Nazrul University, Asansol",10427,10427,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr. B. C. Roy Engineering College, Durgapur",18182,18906,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",29062,30535,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sister Nivedita University, New Town",280891,1162372,Open,Round 1,CLOUD COMPUTING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Sister Nivedita University, New Town",29709,79613,Open,Round 1,CLOUD COMPUTING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Rcc Institute of Information Technology, Kolkata",80332,168598,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Rcc Institute of Information Technology, Kolkata",82189,104826,ST,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Techno International Batanagar,21565,108879,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Hooghly Engineering & Technology College, Hooghly",8140,76072,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Murshidabad College of Engineering & Technology, Murshidabad",69638,110567,OBC - A,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Siliguri Institute of Technology, Siliguri",40964,352068,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Imps College of Engineering & Technology, Malda",601647,1262954,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Institute of Science and Technology, Paschim Medinipur",144295,432326,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Jis College of Engineering, Kalyani, Nadia",70775,98717,ST,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",75739,187174,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Jis University, Agarpara",63043,63043,OBC - B,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,164,671,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Maulana Abul Kalam Azad University of Technology, West Bengal",519,2619,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"UNIVERSITY OF KALYANI, KALYANI",2898,5083,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jis College of Engineering, Kalyani, Nadia",41942,52826,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jld Engineering and Management College, Baruipur",61436,90729,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Mallabhum Institute of Technology, Bishnupur, Bankura",31471,110877,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Gargi Memorial Institute of Technology, Baruipur, Kolkata",17473,109955,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Elitte College of Engineering,Mahispota, Sodepur",16504,109531,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Camellia Institute of Technology & Management, Bainchi, Hooghly",21184,110826,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Bankura Unnayani Institute of Engineering, Bankura",170026,286437,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Abacus Institute of Engineering & Management, Mogra, Hooghly",55179,55179,ST,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno Engineering Collge Banipur, 24 Parganas-North",152402,713197,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Institute of Science and Technology, Paschim Medinipur",78577,94498,OBC - A,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Abacus Institute of Engineering & Management, Mogra, Hooghly",25984,149276,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Abacus Institute of Engineering & Management, Mogra, Hooghly",10203,44621,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Bankura Unnayani Institute of Engineering, Bankura",20019,62758,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Camellia Institute of Technology & Management, Bainchi, Hooghly",510995,774888,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Durgapur Institute of Advanced Technology & Management, Durgapur",55003,107833,OBC - B,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Elitte College of Engineering,Mahispota, Sodepur",528458,886673,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Hooghly Engineering & Technology College, Hooghly",171487,357546,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Mallabhum Institute of Technology, Bishnupur, Bankura",287637,1065359,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",16659,97253,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Govt. College of Engineering & Textile Technology, Serampore",6038,13372,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",1514,5436,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Murshidabad College of Engineering & Technology, Murshidabad",76881,91249,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Narula Institute of Technology, Agarpara, Kolkata",21779,21918,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",97977,109595,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",6984,31374,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Future Institute of Engineering & Management, Sonarpur",82879,207926,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Global Institute of Management and Technology, Krishnanagar, Nadia",436745,819026,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Guru Nanak Institute of Technology, Panihati, Sodepur",1166,316744,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Guru Nanak Institute of Technology, Panihati, Sodepur",37334,39617,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",2358,3014,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",6485,6980,OBC - B,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Calcutta Institute of Technology, Uluberia, Howrah",65768,109336,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Camellia Institute of Technology, Badu Road, Madhyamgram",898692,1274951,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"College of Engineering and Management, Kolaghat",185149,648239,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Durgapur Institute of Advanced Technology & Management, Durgapur",5027,74396,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Jalpaiguri Goverment Engineering College,Jalpaiguri",110290,110290,SC (PwD),Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bankura Unnayani Institute of Engineering, Bankura",65647,75743,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bengal Institute of Technology, Dhapa, Kolkata",12219,100949,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Govt. College of Engineering & Ceramic Technology, Kolkata",38291,38291,Open (PwD),Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",9214,13003,OBC - A,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",45098,53794,ST,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",7547,10911,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Abacus Institute of Engineering & Management, Mogra, Hooghly",46056,53575,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Asansol Engineering College, Asansol, Burdwan",918,42960,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Govt. College of Engg. & Textile Technology, Berhampore",3969,6649,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno India University, Salt Lake",21391,64035,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sister Nivedita University, New Town",106189,360262,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Maulana Abul Kalam Azad University of Technology, West Bengal",5096,8439,OBC - A,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",7881,12276,EWS,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,48,365,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
Swami Vivekananda University,74757,109764,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,10094,10830,OBC - A,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,32070,45861,ST,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",2603,20397,Open,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Durgapur Institute of Advanced Technology & Management, Durgapur",86884,96288,SC,Round 1,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
